,Media Source,Date,Text,Compound,Positive,Neutral,Negative,Tweet Count
16,BBC,Mon Mar 26 15:11:57 +0000 2018,"In her role as head of the Commonwealth, the Queen embarked on her first tour of the nations in 1953.

But by 1970… https://t.co/Av61bahNZF",0.0,0.0,1.0,0.0,17
17,BBC,Mon Mar 26 12:58:02 +0000 2018,"Never let a squirrel nibble your nobble... ???
https://t.co/cHm9m6At3m",0.0,0.0,1.0,0.0,18
18,BBC,Mon Mar 26 11:48:03 +0000 2018,Apple wants to introduce new emojis to better represent people with disabilities. ??? https://t.co/CcJfojmtTa https://t.co/ZRdEhVPMEm,0.4404,0.172,0.828,0.0,19
19,BBC,Mon Mar 26 11:00:05 +0000 2018,"A crack that opened up in Kenya’s Rift Valley, damaging a section of the Narok-Nairobi highway, is still growing... https://t.co/T5YocDauYj",-0.5106,0.0,0.837,0.163,20
20,BBC,Mon Mar 26 10:00:07 +0000 2018,"From hot cross bun gin to Creme Egg Yorkshire pudding, this year’s Easter treats are bigger, weirder and more decad… https://t.co/HvDJmgcB5q",-0.128,0.0,0.93,0.07,21
21,BBC,Mon Mar 26 09:35:06 +0000 2018,RT @bbcpress: Sue Perkins will return to host the 2018 #BAFTA TV awards on Sunday 13 May on @BBCOne. https://t.co/pieSWNAGbH,0.4588,0.136,0.864,0.0,22
22,BBC,Mon Mar 26 09:33:01 +0000 2018,"? @BillBailey is NOT a fan of taramasalata. #Room101 

https://t.co/soAAz27c0C",0.3182,0.247,0.753,0.0,23
23,BBC,Mon Mar 26 09:04:01 +0000 2018,"The kiwi bird's egg is so large, it takes almost ten days to lay! ???  #DavidAttenboroughsNaturalCuriosities
https://t.co/AkZqK9vzZZ",0.0,0.0,1.0,0.0,24
24,BBC,Mon Mar 26 08:29:04 +0000 2018,"?Why do so many celebrities decide to enter politics?

Some have done so more successfully than others...… https://t.co/MkEDpSeLMJ",0.5819,0.182,0.818,0.0,25
25,BBC,Mon Mar 26 07:30:10 +0000 2018,"Wishing you could get out of bed just that little bit earlier? ?

If you need some motivation to set that alarm, he… https://t.co/zsisa2oA4s",0.2263,0.161,0.749,0.09,26
26,BBC,Sun Mar 25 19:44:01 +0000 2018,"Could this be an answer to global water shortages? ?? This machine creates water out of thin air. 

https://t.co/caz4nXMJg5",0.128,0.101,0.821,0.077,27
27,BBC,Sun Mar 25 19:15:06 +0000 2018,"Tonight, @regyates meets people whose lives have been devastated by the Grenfell fire. 

Reggie Yates: Searching fo… https://t.co/HPgtcZuHte",-0.7506,0.0,0.714,0.286,28
28,BBC,Sun Mar 25 18:40:04 +0000 2018,"Tonight, @mcgregor_ewan and @McgColin celebrate the centenary of the Royal Air Force. 

RAF at 100 with Ewan and Co… https://t.co/nF2iwBP51b",0.5719,0.163,0.837,0.0,29
29,BBC,Sun Mar 25 18:13:03 +0000 2018,The first ever statue of David Bowie has been unveiled in the town where he debuted Ziggy Stardust. ??… https://t.co/lFgROYVkv1,0.0,0.0,1.0,0.0,30
30,BBC,Sun Mar 25 17:30:07 +0000 2018,"When you're enjoying being single and people just can't deal with it. ?? @kathbum #LiveAtTheApollo 

https://t.co/byHMHWyhPq",0.5267,0.185,0.815,0.0,31
31,BBC,Sun Mar 25 15:03:03 +0000 2018,"????? Welcome to Tangier Island, the tiny US island where people speak with a British accent.… https://t.co/1RoM285gRJ",0.4588,0.167,0.833,0.0,32
32,BBC,Sun Mar 25 14:30:02 +0000 2018,"? We could listen to him speak all day. 

? Sir David Attenborough's voice was just as iconic in the 60s as it is t… https://t.co/zYi3oK5C13",0.0,0.0,1.0,0.0,33
33,BBC,Sun Mar 25 14:09:03 +0000 2018,"Predictions suggest a build-up of about 80,000 tonnes of plastic in the Pacific Ocean is growing rapidly. ????… https://t.co/uKD9BQWmUi",0.1779,0.091,0.909,0.0,34
34,BBC,Sun Mar 25 13:03:04 +0000 2018,"??? @prattprattpratt stars as a happy-go-lucky hero who joins forces with an unlikely group of aliens. 

Guardians… https://t.co/B9W7kRZ1Qz",0.5574,0.184,0.816,0.0,35
35,BBC,Sun Mar 25 12:03:02 +0000 2018,"Weighing just 100g, a newborn panda is one 900th the size of its mum! ?? #DavidAttenboroughsNaturalCuriosities https://t.co/nKLQh03DJs",0.0,0.0,1.0,0.0,36
36,BBC,Sun Mar 25 10:30:04 +0000 2018,?Meet SoFi - the soft robot fish developed by MIT to swim among real fish in coral reefs and around the ocean to he… https://t.co/HDa7q7WsHf,0.0,0.0,1.0,0.0,37
37,BBC,Sun Mar 25 09:30:15 +0000 2018,"Ever wondered what made you feel moody? It might be your gut.

? https://t.co/l8oMv5gPN2 https://t.co/vq2yhtBOAn",-0.3612,0.0,0.839,0.161,38
38,BBC,Sun Mar 25 08:43:31 +0000 2018,"RT @BBCScotland: Up your brunch game with perfect poached eggs.

via @bbcthesocial https://t.co/1imXNeOZ9d",0.5719,0.236,0.764,0.0,39
39,BBC,Sun Mar 25 08:43:26 +0000 2018,"RT @bbcweather: #Winter may not be done with us yet, as colder continental air fights back against milder maritime air across the UK this w…",-0.4019,0.0,0.899,0.101,40
40,BBC,Sun Mar 25 08:43:22 +0000 2018,RT @BBCSport: A simply astonishing confession from Australia captain Steve Smith and batsman Cameron Bancroft ? https://t.co/YaE7fBZamq,0.0,0.0,1.0,0.0,41
41,BBC,Sun Mar 25 08:00:12 +0000 2018,A woman who drinks 30 cans a day says her addiction to energy drinks is worse than gambling.… https://t.co/d11ATW0F0f,-0.25,0.104,0.743,0.153,42
42,BBC,Sun Mar 25 07:34:02 +0000 2018,You learn something new every day. Here's how to poo a baby jaguar. ??#BigCatsAboutTheHouse https://t.co/Eg5rF1414b,0.0,0.0,1.0,0.0,43
43,BBC,Sun Mar 25 07:02:00 +0000 2018,When the clocks have gone forward but there's no way you're getting out of bed yet. ?????#DaylightSavings https://t.co/cHBPV3ITsQ,-0.4215,0.0,0.859,0.141,44
44,BBC,Sat Mar 24 20:34:01 +0000 2018,"""I still see people screaming for help.""

This Sunday at 9pm on @BBCTwo, @REGYATES meets the people whose lives wer… https://t.co/RS16yXF17H",-0.3818,0.0,0.885,0.115,45
45,BBC,Sat Mar 24 20:00:11 +0000 2018,"The story of the last decade of Picasso's life, through the words of family and friends. ?

Picasso's Last Stand |… https://t.co/RyiuI8KgSk",0.4767,0.134,0.866,0.0,46
46,BBC,Sat Mar 24 19:16:04 +0000 2018,"""Beauty is your inside, it's your personality and what shines from beneath."" 

25-year-old rapper Paigey Cakey had… https://t.co/CVGr69Y0oO",0.5859,0.183,0.817,0.0,47
47,BBC,Sat Mar 24 18:44:04 +0000 2018,Cambridge have won the men's and women's Boat Races. https://t.co/COTzXYuo4N ? ? #BoatRace2018 https://t.co/6SQjF1ToSt,0.5719,0.252,0.748,0.0,48
48,BBC,Sat Mar 24 18:02:01 +0000 2018,"?? @RomeshRanga is NOT a fan of Gogglebox. #LiveAtTheApollo
https://t.co/FHm9g6Emss",0.3182,0.223,0.777,0.0,49
49,BBC,Sat Mar 24 17:01:01 +0000 2018,"When proposals go wrong... ?? #Doodlebugs 
https://t.co/8Yi6giWO3S",0.0,0.0,1.0,0.0,50
50,BBC,Sat Mar 24 15:30:10 +0000 2018,"Writer Sara Maitland has lived alone in rural Scotland for 20 years. 

Here are seven valuable life lessons we can… https://t.co/2eAqUlnwuA",0.2732,0.129,0.788,0.083,51
51,BBC,Sat Mar 24 15:00:06 +0000 2018,?How an Instagram video lost me my dream job in fashion: https://t.co/72yWgHdc1k https://t.co/fl3DxMcIL5,-0.0772,0.131,0.719,0.15,52
52,BBC,Sat Mar 24 14:01:47 +0000 2018,? @clarebalding is live from the River Thames as @UniofOxford and @Cambridge_Uni  meet for one of the most iconic e… https://t.co/Ls9rtIYov4,0.0,0.0,1.0,0.0,53
53,BBC,Sat Mar 24 14:01:32 +0000 2018,RT @bbcthree: The barber helping men with dementia relive their younger lives. https://t.co/p8axQVK836,0.296,0.155,0.845,0.0,54
54,BBC,Sat Mar 24 13:03:01 +0000 2018,"Which animals are likely to become extinct in your lifetime? ??
https://t.co/9KwlmcNrWV",0.0,0.0,1.0,0.0,55
55,BBC,Sat Mar 24 12:33:04 +0000 2018,"Don't miss the highlights from the Gymnastics World Cup! ???????

World Cup Gymnastics | @BBCOne | 2:05pm |… https://t.co/7mpufyeEMo",0.1867,0.098,0.902,0.0,56
56,BBC,Sat Mar 24 11:29:04 +0000 2018,"How much do you know about horses? Take this quiz to see if you are an equestrian expert…?

https://t.co/ChGCB9Xi1W https://t.co/P9UgJ99nsx",0.0,0.0,1.0,0.0,57
57,BBC,Sat Mar 24 10:31:01 +0000 2018,"Meet Hester, the 10-year-old visually impaired skier who's hoping for Paralympic gold one day. ??https://t.co/6aiUaTc3yS",0.4215,0.167,0.833,0.0,58
58,BBC,Sat Mar 24 10:03:01 +0000 2018,"""The enthusiastic viewer should feel he is almost the man on the spot!"" 

In 1949, the BBC announced it would telev… https://t.co/WEoPpkrW1V",0.5411,0.143,0.857,0.0,59
59,BBC,Sat Mar 24 09:42:34 +0000 2018,RT @BBCNewsNI: Prince Harry and Meghan Markle are visiting Northern Ireland https://t.co/ODxLd1LIr8 https://t.co/s0zPTXj3Tk,0.0,0.0,1.0,0.0,60
60,BBC,Sat Mar 24 09:32:59 +0000 2018,"RT @bbcf1: Lewis Hamilton took the first pole of the season in spectacular style ??

https://t.co/a7YDOx0FlQ",0.0,0.0,1.0,0.0,61
61,BBC,Sat Mar 24 09:31:30 +0000 2018,"RT @sportrelief: A humongous THANK YOU to everyone who has taken part, fund-raised &amp; watched over the past weeks &amp; tonight. The #SportRelie…",0.4995,0.133,0.867,0.0,62
62,BBC,Sat Mar 24 09:31:26 +0000 2018,RT @sportrelief: The nation has joined together for this year's #SportRelief pulling out all the stops to make their steps count. Well done…,0.128,0.085,0.85,0.065,63
63,BBC,Sat Mar 24 09:30:13 +0000 2018,?A Cultural history of the avocado: https://t.co/jo1UyWlVw7 https://t.co/7VF6pBpG57,0.0,0.0,1.0,0.0,64
64,BBC,Sat Mar 24 08:33:02 +0000 2018,"Meet Alexandre, one of the only male performers of ‘baladi’ – also known as belly dancing – in the Middle East. ?

 https://t.co/K12N1Y6PU7",0.0,0.0,1.0,0.0,65
65,BBC,Fri Mar 23 19:07:00 +0000 2018,"RT @BBCOne: .@GaryLineker, @OreOduba, @ThisisDavina &amp; more kick off the biggest ever night of #SportRelief now on @bbcone. @sportrelief 
Fo…",0.0,0.0,1.0,0.0,66
66,BBC,Fri Mar 23 18:03:04 +0000 2018,From @taylorswift13 to @Beyonce: these are the secretive musicians who avoid interviews. ?? https://t.co/nqOmaVMzoo https://t.co/sbDga7L5cp,-0.296,0.0,0.864,0.136,67
67,BBC,Fri Mar 23 17:33:03 +0000 2018,"Tonight, @GaryLineker, @ThisisDavina and @OreOduba kick off the biggest ever night of @sportrelief! ??????… https://t.co/tgbpC76heP",0.0,0.0,1.0,0.0,68
68,BBC,Fri Mar 23 17:02:01 +0000 2018,"Your week, as told by @louistheroux. ??
https://t.co/Ae6bDBpIBW",0.0,0.0,1.0,0.0,69
69,BBC,Fri Mar 23 16:27:45 +0000 2018,"RT @BBCWales: A #DanceForParkinsons session with @ndcwales for @GetCreativeUK in #Cardiff this week 

Find out what’s happening on the fina…",0.0,0.0,1.0,0.0,70
70,BBC,Fri Mar 23 16:00:12 +0000 2018,"Meet Australian maths teacher Eddie Woo, who has won fans worldwide with his high-energy lessons, posted on YouTube… https://t.co/vTfNDZzA3b",0.7783,0.286,0.714,0.0,71
71,BBC,Fri Mar 23 14:33:40 +0000 2018,"RT @BBCOne: No @andy_murray, this is not a dream. @GeriHalliwell really IS in your bedroom making you sing Spice Girls songs ?

@sportrelie…",-0.4479,0.0,0.828,0.172,72
72,BBC,Fri Mar 23 14:03:08 +0000 2018,These beautiful photographs reveal how refugees in Tyneside have turned to the healing powers of gardening. ??… https://t.co/2gq0t9FnIR,0.5994,0.187,0.813,0.0,73
73,BBC,Fri Mar 23 14:00:02 +0000 2018,"How would you react if you woke up and found Michael McIntyre and Peppa Pig in your bedroom? 

Poor @AndyMurray…

S… https://t.co/7ZP0hUYeKr",-0.4767,0.0,0.871,0.129,74
74,BBC,Fri Mar 23 13:33:04 +0000 2018,Spring is here! ??? Make the most of seasonal ingredients with these delicious soup recipes. https://t.co/fXp7eJXoJc https://t.co/hA1b2bdSrd,0.6114,0.2,0.8,0.0,75
75,BBC,Fri Mar 23 13:03:02 +0000 2018,"Want to get creative this weekend? Here's how to make a hooky rug. 
#MakeCraftBritain 
https://t.co/uqibyP09s7",0.4939,0.259,0.741,0.0,76
76,BBC,Fri Mar 23 11:42:55 +0000 2018,RT @BBCSport: He was one of English football's first black players and the British Army's first ever black officer to command white troops.…,0.0,0.0,1.0,0.0,77
77,BBC,Fri Mar 23 11:42:51 +0000 2018,RT @BBCRadio2: ? “I thought the script was really frightening and original.” Martin Freeman chats to @achrisevans about his creepy new film…,-0.2006,0.107,0.754,0.139,78
78,BBC,Fri Mar 23 11:42:48 +0000 2018,RT @BBCTwo: Our entire weekend plans. ?? #BigCatsAboutTheHouse https://t.co/vl0zUcCdmI,0.0,0.0,1.0,0.0,79
79,BBC,Fri Mar 23 11:42:43 +0000 2018,"RT @sportrelief: It looks like #TeamGryffindor are storming ahead in the #HogwartsLeague in the #SportRelief app. 

#TeamHufflepuff, #TeamS…",0.3612,0.128,0.872,0.0,80
80,BBC,Fri Mar 23 11:30:05 +0000 2018,???Some blueberry muffins sold by cafes and supermarkets contain more than the recommended daily intake of sugar fo… https://t.co/9bh6K8aMH2,0.2648,0.103,0.897,0.0,81
81,BBC,Fri Mar 23 10:33:01 +0000 2018,"Friday night is CELEBRITY FIGHT NIGHT! ??

Who'll be victorious? Tune in to #SportRelief to find out!

https://t.co/9ZhgNGmxOD",-0.6016,0.0,0.813,0.187,82
82,BBC,Fri Mar 23 10:03:03 +0000 2018,"Scrolling through headlines, the world can feel like a pretty dark place. So here are nine reasons to be happy. ? ?… https://t.co/KrNoB0qaqC",0.8555,0.343,0.657,0.0,83
83,BBC,Fri Mar 23 09:30:03 +0000 2018,"Would you want secret helpers like these to help you out in nerve-wracking situations? #TheSecretHelpers 
https://t.co/ua2X4vxKR3",0.765,0.417,0.583,0.0,84
84,BBC,Fri Mar 23 08:33:01 +0000 2018,"Meet the first polar bear cub to be born in the UK in 25 years. ?
https://t.co/njq1r6eONE",0.0,0.0,1.0,0.0,85
85,BBC,Thu Mar 22 21:39:27 +0000 2018,"RT @BBCOne: All hail queen Kat! ?? 

#EastEnders @BBCEastenders https://t.co/PLmAc53L6t",0.1511,0.15,0.85,0.0,86
86,BBC,Thu Mar 22 21:30:01 +0000 2018,"Istanbul's Blue Mosque looks spectacular. @wmarybeard looks at the art, meaning and significance of calligraphy the… https://t.co/Mv3voUkcvc",0.2732,0.116,0.884,0.0,87
87,BBC,Thu Mar 22 21:20:05 +0000 2018,? The artist reimagining Islamic calligraphy for the 21st Century: https://t.co/wgbVwZLDEa #Civilisations https://t.co/nxW6Sokjdn,0.0,0.0,1.0,0.0,88
88,BBC,Thu Mar 22 20:30:01 +0000 2018,"In 1918, the very first signs of the Spanish Flu pandemic were kept under wraps. So how did the deadly illness get… https://t.co/zuZryXLihL",-0.6486,0.0,0.798,0.202,89
89,BBC,Thu Mar 22 19:04:04 +0000 2018,Go behind-the-scenes at @TheBigCatSanct where expert Giles Clark is hand-rearing a jaguar cub. ?… https://t.co/0hDQP6X1wA,0.0,0.0,1.0,0.0,90
90,BBC,Thu Mar 22 18:30:09 +0000 2018,"Tai chi has been recommended to help people with the chronic pain condition fibromyalgia. 

https://t.co/uYDlKfWbt7 https://t.co/Y7P9ceP82j",0.0516,0.216,0.625,0.159,91
91,BBC,Thu Mar 22 17:33:04 +0000 2018,"The cost of living alone, rather than living as a couple, is more than £1000 a year. ??

This is the price of being… https://t.co/udzI9xGci6",-0.25,0.0,0.917,0.083,92
92,BBC,Thu Mar 22 17:03:54 +0000 2018,.@ManUtd have applied to have a professional women's team. ?? https://t.co/rxzdRsDhUd https://t.co/meO65NRCtm,0.0,0.0,1.0,0.0,93
93,BBC,Thu Mar 22 17:03:05 +0000 2018,"Worried about your impact on the planet? ??

This is how to make your next holiday more eco-friendly. ???

?… https://t.co/wCmDZJledV",0.128,0.113,0.795,0.092,94
94,BBC,Thu Mar 22 16:04:06 +0000 2018,"Think twice before you throw your kitchen waste in the bin! Here's how to grow plants from kitchen scraps. ???

?… https://t.co/MMgrC8yseG",-0.4753,0.0,0.872,0.128,95
95,BBC,Thu Mar 22 15:00:43 +0000 2018,"RT @mixital: ??New #DoctorWho writing challenge!??
Write a story featuring Rory Williams! Share it with us here: https://t.co/zW42ZnvJnc

#…",0.4184,0.141,0.859,0.0,96
96,BBC,Thu Mar 22 15:00:01 +0000 2018,"Could you name the disaster that killed the most people in the last 100 years?

Contagion! The BBC Four Pandemic |… https://t.co/10zHfD8PHT",-0.9168,0.0,0.615,0.385,97
97,BBC,Thu Mar 22 14:30:10 +0000 2018,"?Some musicians love doing them, others don’t.

Seven secretive musicians who like to avoid interviews:… https://t.co/7Rm55Ddynj",0.6705,0.306,0.594,0.1,98
98,BBC,Thu Mar 22 13:53:48 +0000 2018,"RT @BBCEarth: Today is #WorldWaterDay. This teen has an ingenious way to test the safety of water around the world 
@BBC_Future https://t.c…",0.4215,0.118,0.882,0.0,99
99,BBC,Thu Mar 22 13:33:04 +0000 2018,"Has @chrishughes_22 read any of his own book? ??

Here's what he confessed when he took on @BBCR1's fake lie detect… https://t.co/tVaKesbKQ1",-0.4767,0.0,0.871,0.129,100
100,CBS,Mon Mar 26 22:14:25 +0000 2018,"RT @ACMawards: The ACM for New Vocal Group of the Year goes to @MidlandOfficial! And yes, that really was @Reba on the phone! #ACMawards ht…",0.508,0.12,0.88,0.0,1
101,CBS,Mon Mar 26 20:42:48 +0000 2018,"RT @ACMawards: In case you didn’t know, the ACM for New Male Vocalist of the Year goes to @BrettYoungMusic. Check out his reaction when @Re…",0.0,0.0,1.0,0.0,2
102,CBS,Mon Mar 26 16:59:19 +0000 2018,RT @ACMawards: Over the weekend @Reba called the ACM New Artist of the Year winners to let them know they had won! Let’s just say our New F…,0.7959,0.214,0.786,0.0,3
103,CBS,Mon Mar 26 16:05:18 +0000 2018,"Congratulations to the 53rd #ACMawards New Artist winners @Lauren_Alaina, @MidlandOfficial, and @BrettYoungMusic! W… https://t.co/Fr8H4arwGj",0.807,0.378,0.622,0.0,4
104,CBS,Sun Mar 25 23:57:34 +0000 2018,New start times in East/Central Time Zones #60Minutes 7:35ET/6:35CT #Instinct  8:35ET/7:35CT #NCISLA 9:35ET/8:35CT… https://t.co/8W5hAeLrvs,0.0,0.0,1.0,0.0,5
105,CBS,Sun Mar 25 17:15:25 +0000 2018,Don’t miss a minute of the action. Stream the Elite Eight® games LIVE today starting at 2PM ET with a FREE trial of… https://t.co/8NwU8HdiHR,0.5319,0.157,0.78,0.062,6
106,CBS,Sat Mar 24 22:46:53 +0000 2018,RT @MomCBS: That's a wrap on the #Mom panel at #PaleyFest! Thanks for following along! https://t.co/we4JgqPt6P,0.5399,0.199,0.801,0.0,7
107,CBS,Sat Mar 24 22:46:43 +0000 2018,RT @MomCBS: A fan just commented that #Mom helped bring him out of a deep depression. ??? #PaleyFest,-0.34,0.115,0.7,0.185,8
108,CBS,Sat Mar 24 22:25:03 +0000 2018,"RT @MomCBS: ""Go out for it anyway. If you're good for the role, you're good for the role."" @theJaimePressly's advice for aspiring actors wi…",0.7003,0.209,0.791,0.0,9
109,CBS,Sat Mar 24 22:21:37 +0000 2018,RT @MomCBS: Mom Co-Creator @GemmaRBaker just pointed out her own #Mom in the audience at #PaleyFest! ?,0.0,0.0,1.0,0.0,10
110,CBS,Sat Mar 24 22:21:34 +0000 2018,"RT @MomCBS: ""I'm not someone in recovery who goes to AA, but I have taken so much away from it...to take one day at a time."" - @theJaimePre…",0.0,0.0,1.0,0.0,11
111,CBS,Sat Mar 24 22:21:26 +0000 2018,"RT @MomCBS: ""You get to appreciate working with such talented people."" - @AnnaKFaris #Mom #PaleyFest",0.7184,0.333,0.667,0.0,12
112,CBS,Sat Mar 24 22:21:23 +0000 2018,RT @MomCBS: “I love this job. I love working with these women. I love working in front of the live audience… It’s alive and it’s fun.” - @A…,0.9451,0.42,0.58,0.0,13
113,CBS,Sat Mar 24 20:00:02 +0000 2018,"Get on your feet for @Jason_Aldean, @ThomasRhett, @ChrisStapleton, @KeithUrban, and @ChrisYoungMusic, the five nomi… https://t.co/oT5ogjdj4x",0.0,0.0,1.0,0.0,14
114,CBS,Fri Mar 23 22:33:52 +0000 2018,Get ready for some sweet games! Stream #5 Clemson vs #1 Kansas LIVE at 7PM ET and #11 Syracuse vs #2 Duke LIVE at 9… https://t.co/4WstgrKNnW,0.6996,0.194,0.806,0.0,15
115,CBS,Fri Mar 23 22:33:04 +0000 2018,RT @SEALTeamCBS: In honor of #NationalPuppyDay... ? #SEALTeam https://t.co/4mIZPpiRlU,0.4939,0.314,0.686,0.0,16
116,CBS,Fri Mar 23 22:32:48 +0000 2018,"RT @HawaiiFive0CBS: Nothing like a man and his dog! ?? Happy #NationalPuppyDay to Eddie, the best pup on the Five-0 Task Force! #H50 https:…",0.8997,0.355,0.645,0.0,17
117,CBS,Thu Mar 22 22:10:29 +0000 2018,Game on! 16 teams left and the race to the finish continues tonight. Stream #11 Loyola-Chicago vs #7 Nevada LIVE at… https://t.co/W374rmzzoC,0.0,0.0,1.0,0.0,18
118,CBS,Thu Mar 22 20:52:02 +0000 2018,Save the date! These are season finales you do NOT want to miss. RT if you're excited! https://t.co/UUQoWsPPSh https://t.co/cDl4WmxMtU,0.7081,0.311,0.623,0.066,19
119,CBS,Thu Mar 22 00:23:38 +0000 2018,Congratulations to all of the @CBSDaytime nominees for the #DaytimeEmmys! See the full list of #DaytimeEmmy nominee… https://t.co/ivJVJWvfsf,0.636,0.198,0.802,0.0,20
120,CBS,Wed Mar 21 18:00:01 +0000 2018,Female Vocalist Of The Year nominee @MarenMorris will show her fans how it’s done when she takes the stage to showc… https://t.co/PITjmAoFT8,0.0,0.0,1.0,0.0,21
121,CBS,Tue Mar 20 20:00:01 +0000 2018,The legendary @Reba returns to host the 53rd #ACMawards and she’s proving just how comfortable she is behind the mi… https://t.co/XPXcSPRXqC,0.5106,0.142,0.858,0.0,22
122,CBS,Tue Mar 20 17:58:43 +0000 2018,RT @nancyodell: Told my daughter I'd be presenting at @ACMawards again this year. (Woot woot!We both luv country music!)She took this pic o…,0.0,0.0,1.0,0.0,23
123,CBS,Tue Mar 20 16:52:42 +0000 2018,RT @ladyantebellum: Ecstatic to announce we'll be performing at the #ACMawards in Las Vegas again this year! https://t.co/Qfhs94j6FR,0.5562,0.174,0.826,0.0,24
124,CBS,Tue Mar 20 16:11:00 +0000 2018,"Country superstars @kennychesney, @ladyantebellum, @blakeshelton, and @KeithUrban have just been added to the stell… https://t.co/bJ4If7MacP",0.0,0.0,1.0,0.0,25
125,CBS,Mon Mar 19 21:02:26 +0000 2018,"RT @YandR_CBS: Forever evolving, Forever inspiring, Forever Young and Restless. ?? Get ready to celebrate 45 years of #YR starting in just…",0.7845,0.309,0.619,0.072,26
126,CBS,Sun Mar 18 23:44:30 +0000 2018,New start times in East/Central Time Zones: #60Minutes 7:37ET/6:37CT #Instinct series premiere 8:37ET/7:37CT… https://t.co/xT3YKqmu2M,0.0,0.0,1.0,0.0,27
127,CBS,Sun Mar 18 18:05:43 +0000 2018,Spend your Sunday streaming Second Round games LIVE with a FREE trial of CBS All Access! https://t.co/3P85rXLy4b https://t.co/zbWfirD9Ju,0.6514,0.213,0.787,0.0,28
128,CBS,Sun Mar 18 17:09:53 +0000 2018,"RT @instinctcbs: TONIGHT, Dr. Dylan Reinhart rewrites the book on abnormal behavior. Don't miss the premiere of #Instinct at 8/7c! https://…",0.1867,0.08,0.92,0.0,29
129,CBS,Sat Mar 17 19:00:02 +0000 2018,"If any duo knows how to rock the stage, it's @FLAGALine. The Vocal Duo Of The Year nominee will perform live at the… https://t.co/FknabB8NQp",0.0,0.0,1.0,0.0,30
